Index,Initial x,Initial z,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-0.20059506887524278,3.4407928303467878e-28,-2.7122386678997557,6.260787232421087,3.1886963713104066,1.0000000000068685,(0.753141373047497+0.65785870230878j),(0.753141373047497-0.65785870230878j),(1.0000037063396439+0j),(0.9999962936755257+0j),(0.9999999999899132+4.50952029565506e-06j),(0.9999999999899132-4.50952029565506e-06j)
1,-0.2005949977130038,-9.999872464356743e-05,-2.7122391679059383,6.2607872344696265,3.1886961246579943,1.0000000000001965,(0.7531414790022366+0.6578585810031095j),(0.7531414790022366-0.6578585810031095j),(0.999999999591983+2.8646256223767866e-05j),(0.999999999591983-2.8646256223767866e-05j),(1.000000626953623+0j),(0.9999993730512641+0j)
2,-0.20059480021673992,-0.00019998967646982194,-2.7122404985488937,6.260787236439106,3.1886954204282514,1.0000000000002027,(0.7531418070725261+0.6578582054180242j),(0.7531418070725261-0.6578582054180242j),(0.9999999983334962+5.775747948009063e-05j),(0.9999999983334962-5.775747948009063e-05j),(1.0000006367322605+0j),(0.999999363269461+0j)
3,-0.20059447112561613,-0.00029996455080681525,-2.7122427158233653,6.260787239720874,3.1886942469583106,1.000000000000198,(0.75314235311091+0.6578575802874885j),(0.75314235311091-0.6578575802874885j),(0.9999999962412752+8.673820629607049e-05j),(0.9999999962412752-8.673820629607049e-05j),(1.0000006295651032+0j),(0.9999993704402177+0j)
4,-0.2005940105437207,-0.0003999153291039145,-2.7122458190333725,6.260787244313878,3.18869260461803,1.0000000000001983,(0.7531431171987201+0.657856705523173j),(0.7531431171987201-0.657856705523173j),(0.999999993313279+0.00011568576600097539j),(0.999999993313279-0.00011568576600097539j),(1.0000006298173645+0j),(0.9999993701892789+0j)
5,-0.20059341861652757,-0.0004998340172663701,-2.7122498072061747,6.260787250216624,3.188690493924507,1.0000000000001978,(0.7531440991313261+0.6578555813644505j),(0.7531440991313261-0.6578555813644505j),(0.9999999895462801+0.00014461595348910566j),(0.9999999895462801-0.00014461595348910566j),(1.0000006291194727+0j),(0.9999993708864596+0j)
6,-0.20059269553076578,-0.0005997126537214112,-2.712254679092727,6.260787257427244,3.188687915541177,1.0000000000001958,(0.7531452986053759+0.657854208147379j),(0.7531452986053759-0.657854208147379j),(0.9999999849474952+0.00017353113773380092j),(0.9999999849474952-0.00017353113773380092j),(1.0000006256485559+0j),(0.9999993743562706+0j)
7,-0.20059184151385498,-0.0006995433172335635,-2.7122604331723825,6.260787265943423,3.188684870276311,1.000000000000195,(0.753146715256481+0.6578525862883059j),(0.753146715256481-0.6578525862883059j),(0.999999979514649+0.000202430061825209j),(0.999999979514649-0.000202430061825209j),(1.0000006245360262+0j),(0.999999375470603+0j)
8,-0.20059085683383143,-0.0007993181348879282,-2.712267067652164,6.260787275762447,3.1886813590822802,1.0000000000001945,(0.753148348646712+0.657850716296588j),(0.753148348646712-0.657850716296588j),(0.9999999732478987+0.00023131181390723297j),(0.9999999732478987-0.00023131181390723297j),(1.0000006235725596+0j),(0.9999993764262187+0j)
9,-0.20058974179848138,-0.0008990292894969246,-2.712274580474183,6.260787286881197,3.188677383053017,1.0000000000001923,(0.753150198245476+0.657848598747945j),(0.753150198245476-0.657848598747945j),(0.9999999661576092+0.0002601749294661071j),(0.9999999661576092-0.0002601749294661071j),(1.0000006203497687+0j),(0.9999993796535951+0j)
10,-0.2005884967552669,-0.000998669027426195,-2.712282969314383,6.260787299296149,3.188672943423142,1.000000000000191,(0.7531522634943253+0.6578462343029742j),(0.7531522634943253-0.6578462343029742j),(0.9999999582366716+0.0002890171449413522j),(0.9999999582366716-0.0002890171449413522j),(1.000000618046499+0j),(0.9999993819576457+0j)
