Index,Initial x,Initial z,Initial vx,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-0.8628157514725687,2.6195760592595634e-23,9.363853442634351e-12,0.3274239954378729,-1.9613643349970943e-20,6.279388551370934,2.9729096638800585,1.0000000001040779,(0.7022543159150871+0.7119261732255998j),(0.7022543159150871-0.7119261732255998j),(1.0000144273543403+0j),(0.9999855725004911+0j),(0.9999999901989829+0.00014000428925932637j),(0.9999999901989829-0.00014000428925932637j)
1,-0.8628129970011421,-1.2156755829903185e-16,5.954074928919284e-10,0.3274141164329178,-2.3799442336062415e-07,6.279387955596087,2.972918919815508,1.000000000098588,(0.7022564742469168+0.7119240442094044j),(0.7022564742469168-0.7119240442094044j),(1.0000140416841943+0j),(0.9999859581620173+0j),(0.9999999962960796+8.606399310523446e-05j),(0.9999999962960796-8.606399310523446e-05j)
2,-0.8628100991782328,-1.1728612946955175e-15,5.950068535272986e-10,0.32740372333658213,-1.5316620332404984e-06,6.2793873288144555,2.9729286572869427,1.0000000011307675,(0.7022581864855371+0.7119223552176733j),(0.7022581864855371-0.7119223552176733j),(1.0000139910738228+0j),(1.000047556729718+0j),(0.9999860087694794+0j),(0.9999524455309823+0j)
3,-0.8628110180797582,-1.0041515198458786e-14,5.948325222909805e-10,0.32740701911557685,-1.1114124608577116e-05,6.279387527574723,2.972925569342761,1.000000000097073,(0.7022574710717873+0.7119230609177442j),(0.7022574710717873-0.7119230609177442j),(1.0000139333709095+0j),(0.9999860664717936+0j),(0.9999999991112689+4.21513544118862e-05j),(0.9999999991112689-4.21513544118862e-05j)
4,-0.8628109758274704,-1.8964727981768714e-14,5.955932470540013e-10,0.3274068678875056,-2.1113116051449405e-05,6.279387518453275,2.972925710795951,1.00000000010244,(0.7022577854981407+0.7119227507619585j),(0.7022577854981407-0.7119227507619585j),(0.9999856864619526+0j),(1.0000143133897494+0j),(0.9999999999959072+2.9861127399455067e-06j),(0.9999999999959072-2.9861127399455067e-06j)
5,-0.8628109757041275,-2.7938796953557434e-14,5.95392330446727e-10,0.3274068679448835,-3.1113116050524034e-05,6.279387518454788,2.9729257103609106,1.0000000001030198,(0.7022577873185196+0.7119227489665538j),(0.7022577873185196-0.7119227489665538j),(1.0000143538184547+0j),(0.9999856460313266+0j),(1.0000004584311935+0j),(0.9999995415715783+0j)
6,-0.8628109755431258,-3.689908864166768e-14,5.95101900332483e-10,0.32740686805857644,-4.1113116048618066e-05,6.27938751845896,2.972925709727096,1.0000000000823466,(0.7022577841897438+0.7119227520520122j),(0.7022577841897438-0.7119227520520122j),(1.0000128329986142+0j),(0.9999871668064965+0j),(1.000003081310789+0j),(0.9999969187053411+0j)
7,-0.8628109753376114,-4.585367907262282e-14,5.948643493488729e-10,0.3274068682039817,-5.111311604544771e-05,6.279387518464304,2.972925708917551,1.0000000001046137,(0.7022577879517049+0.7119227483413725j),(0.7022577879517049-0.7119227483413725j),(1.000014464440626+0j),(0.9999855354070419+0j),(1.0000007485975948+0j),(0.9999992514111832+0j)
8,-0.8628109750874623,-5.479301203911657e-14,5.94571117454835e-10,0.3274068683807004,-6.111311604079246e-05,6.279387518470788,2.9729257079326623,1.0000000000843803,(0.7022577849747507+0.7119227512790849j),(0.7022577849747507-0.7119227512790849j),(1.0000129905043105+0j),(0.9999870092986994+0j),(1.000003112332158+0j),(0.9999968876924484+0j)
9,-0.8628109747928323,-6.388273965498614e-14,5.95651818925785e-10,0.32740686858928514,-7.111311603427375e-05,6.279387518478451,2.9729257067719104,1.0000000001069778,(0.7022577888934707+0.7119227474126004j),(0.7022577888934707-0.7119227474126004j),(1.0000146269503876+0j),(0.9999853728954461+0j),(1.0000010292059738+0j),(0.999998970811351+0j)
